CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
,I,Colletotrichum taiwanense,None,Pathogen,Low,0.0%,0.1%,99.9%,Chinese snowbell (Styrax formosanus),kiwifruit (Actinidia chinensis),"Mostly in California, but also small amounts grown in Alabama, Florida, Georgia, Maryland, Mississippi, North Carolina, Oklahoma, Oregon, South Carolina, Tennesee, Virginia, Washington, Wast Virginia",No,8/27/2015
,I,Cratosomus punctulatus,Citrus borer,Arthropod,Low,0.2%,2.0%,98.0%,Maybe citrus (not well studied or documented),,"California, Arizona, the Gulf of Mexico region, and Florida",No,9/25/2020
,I,"Cytorhabdovirus hordei, Barley yellow striate mosaic virus",BYSMV,Pathogen,Low,0.0%,1.0%,99.0%,,,,No,5/8/2024
,I,Draeculacephala clypeata,Sharp-headed leafhopper,Arthropod,Low,2.0%,9.0%,90.0%,,,,No,7/31/2024
,I,Eggplant mottled dwarf virus,EMDV,Pathogen,Low,0.6%,8.4%,91.0%,"tomato, potato, bell pepper, cucumber, tobacco, wild hosts",,All states,No,11/15/2017
,I,Erwinia pyrifoliae ,Black shoot blight,Pathogen,Low,0.0%,5.0%,95.0%,,,,No,3/19/2024
,I,Eutetranychus orientalis,Citrus Brown Mite,Arthropod,Low,3.8%,22.7%,73.4%,Citrus,"Prunus, Pyrus, Phoenix, Ipomoea. Manihot, Plumeria, Durio, Ricinus, Albezia, Averrhoa, Melia, Euonymus, Toona, Cedrela, Salix",Southern US,No,9/12/2018
,I,Exosoma lusitanicum,daffodil leaf beetle,Arthropod,Low,4.0%,20.0%,76.0%,,,,No,2/29/2024
,I,Frankliniella parvula,Flower thrips,Arthropod,Low,2.0%,10.0%,88.0%,,,,No,6/7/2024
,I,Grapholita inopinata,Manchurian fruit moth,Arthropod,Low,3.6%,21.9%,74.4%,apple,,Most states,No,9/19/2019
,I,Grapholita lobarzewskii,Smaller fruit tortrix moth,Arthropod,Low,2.5%,16.6%,80.9%,"Apple, plum",,Most states,No,9/19/2019
,I,Heterodera latipons,Mediterranean Cereal Cyst Nematode,Pathogen,Low,2.1%,24.0%,74.0%,Cereals,"oats, barley, rye, wheat",Most states,No,9/12/2018
,I,Icerya aegyptiaca,Egyptian fluted scale,Arthropod,Low,4.0%,23.0%,73.0%,"tropical fruits, shade trees, ornamentals",,"Small portions of southern Florida, Texas, Arizona and California",No,1/14/2021
,I,Lema bilineata,Two-lined leaf beetle,Arthropod,Low,0.0%,2.0%,98.0%,,,,No,5/8/2024
,I,Longidorus attenuatus,Needle Nematode,Pathogen,Low,0.3%,0.5%,99.4%,"sugar beet; also barley, potato, and red clover",,"Sugar beet producing states include California, Colorado, Idaho, Michigan, Minnesota, Montana, Nebraska, North Dakota, Oregon, Washington, Wyoming",No,10/2/2017
,I,Meloidogyne luci,None,Pathogen,Low,0.1%,2.2%,97.6%,"potatoes, soybeans, probably other vegetables",,"Most states, particularly those that grow potatoes and soybeans",No,12/11/2017
,I,Meloidogyne minor,Root-knot nematode,Pathogen,Low,0.9%,12.0%,87.1%,potato,turf grass,"Washington (already established), Oregon, California, Idaho, North Dakota, Colorado, Wisconsin, Minnesota, Maine, and Michigan, Texas, Florida, Georgia, Alabama, South Carolina, Oklahoma",No,9/12/2018
,I,Moechotypa diphysis,Oak longicorn beetle,Arthropod,Low,6.0%,25.0%,69.0%,,,,No,2/29/2024
,I,Monosteira unicostata,Poplar lace bug,Arthropod,Low,2.0%,11.0%,87.0%,,,,No,5/8/2024
,I,Neofusicoccum mangiferae,Mango fruit rot,Pathogen,Low,98.4%,1.5%,0.1%,mango,"avocado, grapes","California, Hawaii, Texas, and Florida",Maybe - single report of human pathogenicity after surgery.,9/27/2019
,I,Nysius huttoni,Wheat bug,Arthropod,Low,2.5%,16.6%,80.9%,wheat (Triticum aestivum) ,as multiple species from the Brassica and Trifolium generas.,"Mainly Southern US and Pacific: Washington, Oregon, California, Arizona, Nevada, New Mexico, Texas, Arkansas, Louisiana, Tennessee, Mississippi, Alabama, North Carolina, South Carolina, Georgia, Florida",No,4/2/2015
,I,Otiorhynchus dieckmanni,"Wingless weevil, Olive weevil",Arthropod,Low,0.0%,0.1%,99.9%,ornamental shrubs,"fifteen plant species across nine families. Most commonly reported hosts include Colutea arborescens (Fabaceae) and Ligustrum vulgare (Oleaceae) , and Ligustrum sp.","large portions U.S., especially in southern and coastal states, including parts of Hawaii and Alaska",No,3/5/2015
,I,Oxycarenus lavaterae,Mediterranean Linden Bug,Arthropod,Low,3.0%,19.0%,78.0%,,,,No,5/8/2024
,I,Pammene rhediella,Fruitlet mining tortrix,Arthropod,Low,0.3%,2.0%,97.8%,"apple, plum","cherry, pear","most states, particularly California, Michigan, New York, Oregon, Washington",No,9/19/2019
,I,Penthimiola bella,Citrus leafhopper,Arthropod,Low,1.7%,11.7%,86.6%,citrus and avocado,,"Hawaii, California, Arizona,Texas, Louisiana, Alabama, Flordia",No,4/8/2015
,I,Pityogenes chalcographus,Sixtoothed spruce bark beetle,Arthropod,Low,1.7%,12.2%,86.0%,"conifers, especially spruce",,"Most states, especially Pacific northwest",No,9/27/2019
,I,Potato Virus V,PVV,Pathogen,Low,0.0%,1.0%,99.0%,potato,,All states,No,1/14/2021
,I,Pseudargyrotoza conwagana,common ash moth,Arthropod,Low,1.0%,4.0%,95.0%,,,,No,6/7/2024
,I,Pulvinaria polygonata ,Cottony Citrus Scale,Arthropod,Low,0.0%,2.0%,98.0%,,,,No,7/14/2022
,I,Punctodera chalcoensis,Mexican Corn Cyst Nematode,Pathogen,Low,1.3%,16.8%,81.9%,"corn, teosinte",,All states,No,2/14/2018
,I,Rathayibacter toxicus,Annual ryegrass toxicity,Pathogen,Low,1.6%,19.6%,78.7%,ryegrass (Lolium spp.) and other poaceae frage crops,Avena spp. And other poaceae forage crops,All states,"Y- Produces toxins (i.e. corynetoxins) that are often fatal to sheep cattle, horses, donkeys, pigs, guinea pigs, rats, mice and chickens.  Human health effects have not been documented but the possibility of exerting health effects has not been excluded.  ",9/11/2015
,I,Rhynchites bacchus,Peach weevil,Arthropod,Low,2.9%,18.8%,78.3%,"apple, almond, cherry, plum, peach, apricot, pear, hawthorn",,All states,No,9/19/2019
,I,Schizotetranychus hindustanicus,Hindustan citrus mite,Arthropod,Low,0.0%,3.0%,97.0%,Citrus,,"Alabama, Arizona, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, South Carolina, and Texas",No,1/14/2021
,I,Scolytus amygdali,Almond bark beetle,Arthropod,Low,2.0%,14.0%,94.0%,almond,Prunus and Malus species,Almonds are only produced in California,No,9/19/2019
,I,Septoria passifloricola ,Septoria blotch,Pathogen,Low,0.0%,1.0%,99.0%,,,,No,3/13/2024
,I,Stigmella malella,Banded apple pygmy,Arthropod,Low,5.4%,29.1%,65.5%,Rosaceae (apple),Pear,Most states,No,9/23/2019
,I,Tetranychus abacae,,Arthropod,Low,0.0%,0.3%,99.7%,,,,No,5/15/2024
,I,Tetranychus roseus,Spider mite,Arthropod,Low,1.0%,7.3%,91.7%,Polyphagous,"Arecaceae - Licuala grandis (Vanuatau fan palm), Medemia nobilis (Bismarck palm), Medemia spp. (Palm), and Washingtonia filifera (California fan palm), Dioscoreaceae - Dioscorea cayenensis (yellow guinea yam), and Roaceae - Rosa sp. (Rose), ","Mainly a greenhouse pest; all states at risk. In the enviornment, could probably establish in much of the US. ",No,3/25/2015
,I,Thrips major ,rubus thrips,Arthropod,Low,5.0%,22.0%,73.0%,,,,No,7/31/2024
,I,Tomicus minor,Lesser pine shoot beetle,Arthropod,Low,0.9%,6.6%,92.4%,Pine,,"Pinus spp. are found throughout the United States. Only one of the preferred hosts can be found in the U.S., Pinus sylvestris. Although not native, P. sylvestris grows in the northeastern United States and also Oregon and Washington state",No,9/12/2018
