Source,Listed Name,Name edited to match name in ARM,Edit made to name,Name in ARM,WRA Risk Result,% Major Invader,% Minor Invader,% Non-Invader Invader,% Suitable Reported,Qualitative Rating,Justification for Qualitative Rating,Blank,Taxon Unit Type,Pest Notes,Taxonomy Kingdom,Taxonomy Division,Taxonomy Phylum,Taxonomy Class,Taxonomy Subclass,Taxonomy Superorder,Taxonomy Order,Taxonomy Family,Taxonomy Genus,Taxonomy Species,Taxonomy Subspecies,Author
FNW List from PPRA Weed Team Tracking Log (11/15/24),Melaleuca quinquenervia,Melaleuca quinquenervia,,Melaleuca quinquenervia,High,93.7,6.1,0.2,N/A,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Myrtales,Myrtaceae,Melaleuca,quinquenervia,0,(Cavanilles) Blake
FNW List from PPRA Weed Team Tracking Log (11/15/24),Melastoma malabathricum,Melastoma malabathricum,,Melastoma malabathricum,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Myrtales,Melastomataceae,Melastoma,malabathricum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Mikania cordata ,Mikania cordata,,Mikania cordata,High,90.6,9.1,0.3,0,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Mikania,cordata,0,(Burman F.) B. L. Robinson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Mikania micrantha,Mikania micrantha,,Mikania micrantha,High,95.9,3.9,0.1,N/A,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Mikania,micrantha,0,Kunth
FNW List from PPRA Weed Team Tracking Log (11/15/24),Mimosa diplotricha,Mimosa diplotricha,,Mimosa diplotricha,,,,,,High,Char,,Species,Federal Noxious Weed.  Synonyms : Mimosa invisa Martius,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Mimosa,diplotricha,0,C. Wright
FNW List from PPRA Weed Team Tracking Log (11/15/24),Mimosa pigra var. pigra,Mimosa pigra,remove strain/variety,Mimosa pigra,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Mimosa,pigra,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Monochoria hastata,Monochoria hastata,,Monochoria hastata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Commelinales,Pontederiaceae,Monochoria,hastata,0,(L.) Solms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Monochoria vaginalis ,Monochoria vaginalis,,Monochoria vaginalis,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Commelinales,Pontederiaceae,Monochoria,vaginalis,0,(Burman f.) C. Presl ex Kunth
FNW List from PPRA Weed Team Tracking Log (11/15/24),Moraea collina,Moraea collina,,Moraea collina,,,,,,Moderate,Temporary rating,,Species,"FNW
Synonyms:
(=) Homeria collina (Thunb.) Salisb.",Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Iridaceae,Moraea,collina,0,Thunb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Moraea flaccida,Moraea flaccida,,Moraea flaccida,,,,,,Moderate,Temporary rating,,Species,"FNW
Synonyms:
(=) Homeria bicolor (Baker) Klatt
Basionym: Homeria flaccida Sweet",Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Iridaceae,Moraea,flaccida,0,(Sweet) Steud.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Moraea miniata ,Moraea miniata,,Moraea miniata,,,,,,Moderate,Temporary rating,,Species,"FNW
Synonyms:
(=) Homeria albida L. Bolus
(=) Homeria lineata Sweet
(=) Homeria miniata (Andrews) Sweet",Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Iridaceae,Moraea,miniata,0,Andrews
FNW List from PPRA Weed Team Tracking Log (11/15/24),Moraea ochroleuca,Moraea ochroleuca,,Moraea ochroleuca,,,,,,Moderate,Temporary rating,,Species,FNW,Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Iridaceae,Moraea,ochroleuca,0,(Salisbury) Drapiez
FNW List from PPRA Weed Team Tracking Log (11/15/24),Moraea pallida,Moraea pallida,,Moraea pallida,,,,,,Moderate,Temporary rating,,Species,"FNW
Synonyms
(=) Homeria glauca (J. M. Wood & M. S. Evans) N. E. Br.
(=) Homeria humilis N. E. Br.
(=) Homeria mossii N. E. Br.
Basionym: Homeria pallida Baker
(=) Homeria pura N. E. Br.
(=) Homeria townsendiae N. E. Br.",Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Iridaceae,Moraea,pallida,0,(Baker) Goldblatt
FNW List from PPRA Weed Team Tracking Log (11/15/24),Nassella trichotoma,Nassella trichotoma,,Nassella trichotoma,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Nassella,trichotoma,0,(Nees) Hack.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Onopordum acaulon,Onopordum acaulon,,Onopordum acaulon,High,92,7.8,0.3,0,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Onopordum,acaulon,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Onopordum illyricum ,Onopordum illyricum,,Onopordum illyricum,High,87.7,11.9,0.4,0.4,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Onopordum,illyricum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Opuntia aurantiaca,Opuntia aurantiaca,,Opuntia aurantiaca,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Caryophyllales,Cactaceae,Opuntia,aurantiaca,0,Lindl.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Orobanche spp.,Orobanche,remove spp.,Orobanche,High,92.4,7.4,0.2,1,N/A,,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Orobanche,0,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Oryza longistaminata,Oryza longistaminata,,Oryza longistaminata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Oryza,longistaminata,0,A. Chevalier & Roehrich
FNW List from PPRA Weed Team Tracking Log (11/15/24),Oryza punctata,Oryza punctata,,Oryza punctata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Oryza,punctata,0,Kotschy Ex Steudel
FNW List from PPRA Weed Team Tracking Log (11/15/24),Oryza rufipogon,Oryza rufipogon,,Oryza rufipogon,High,78.8,20.4,0.8,6,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Oryza,rufipogon,0,Griff.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Ottelia alismoides,Ottelia alismoides,,Ottelia alismoides,,,,,,Moderate,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Alismatales,Hydrocharitaceae,Ottelia,alismoides,0,(L.) Pers.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Paspalum scrobiculatum,Paspalum scrobiculatum,,Paspalum scrobiculatum,High,71.2,27.6,1.2,4,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Paspalum,scrobiculatum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum clandestinum,Pennisetum clandestinum,,Pennisetum clandestinum,,,,,,High,Char,,Species,Current accepted name is Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,clandestinum,0,Hochstetter Ex Chiovenda
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum macrourum,Pennisetum macrourum,,Pennisetum macrourum,,,,,,Moderate,Temporary rating,,Species,"Current accepted name is Cenchrus caudatus (Schrad.) Kuntze, Federal Noxious Weed",Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,macrourum,0,Trinius
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum pedicellatum,Pennisetum pedicellatum,,Pennisetum pedicellatum,High,90.2,9.5,0.3,10,N/A,,,Species,The curent accepted name is Cenchrus pedicellatus (Trin.) Morrone. FNW,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,pedicellatum,0,Trinius
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum polystachion,Pennisetum polystachion,,Pennisetum polystachion,High,96.4,3.5,0.1,25,N/A,,,Species,Current accepted name is Cenchrus polystachios (L.) Morrone subsp. polystachios,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,polystachion,0,(L.) Schult.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Phelipanche spp.,Phelipanche,remove spp.,Phelipanche,High,94.2,5.6,0.2,2,N/A,,,Genus,Parasitic Plant Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Phelipanche,0,0,Pomel
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis alpataco,Prosopis alpataco,,Prosopis alpataco,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,alpataco,0,Phil.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis argentina,Prosopis argentina,,Prosopis argentina,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,argentina,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis articulata,Prosopis articulata,,Prosopis articulata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,articulata,0,S. Watson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis burkartii,Prosopis burkartii,,Prosopis burkartii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,burkartii,0,Munoz
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis caldenia,Prosopis caldenia,,Prosopis caldenia,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,caldenia,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis calingastana,Prosopis calingastana,,Prosopis calingastana,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,calingastana,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis campestris,Prosopis campestris,,Prosopis campestris,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,campestris,0,Griseb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis castellanosii,Prosopis castellanosii,,Prosopis castellanosii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,castellanosii,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis denudans,Prosopis denudans,,Prosopis denudans,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,denudans,0,Benth.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis elata ,Prosopis elata,,Prosopis elata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,elata,0,(Burkart) Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis farcta,Prosopis farcta,,Prosopis farcta,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,farcta,0,(Banks & Solander) J. F. Macbride
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis ferox,Prosopis ferox,,Prosopis ferox,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,ferox,0,Griseb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis fiebrigii,Prosopis fiebrigii,,Prosopis fiebrigii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,fiebrigii,0,Harms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis hassleri,Prosopis hassleri,,Prosopis hassleri,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,hassleri,0,Harms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis humilis,Prosopis humilis,,Prosopis humilis,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,humilis,0,Gilles Ex Hooker & Arnott
